Lake_Name,Abbreviation,area_sqm,perimeter,max_depth,mean_depth,longitude,latitude,dms longitude,dms latitude,elevation (m),distance from ocean (m)
Sugsaw Lake,SUG,597044,5808,31,10.8,-125.0859985,48.8492012,48° 50' 57.1236'' N,125° 5' 9.5964'' W,42,4449.93
Frederick Lake,FRE,378015,2932,22.86,13.05,-125.026001,48.8543015,48° 51' 15.4836'' N,125° 1' 33.6036'' W,80,4314.02
Black Lake,BLA,646703,4718,27.2,11.1,-125.0970001,48.7737999,48° 46' 25.68'' N,125° 5' 49.2'' W,111,4985.72
Bewlay Lake,BEW,110131,1603,.,.,-124.9059982,48.8950005,48° 53' 42.0036'' N,124° 54' 21.5928'' W,65,14516.97
Sarita Lake,SAR,1218793,7511,28.65,14.63,-124.8850021,48.9093018,48° 54' 33.4872'' N,124° 53' 6.0072'' W,48,10682.81
Rosseau Lake,RSS,146821,2267,11,5.8,-124.9950027,48.8303986,48° 49' 49.4364'' N,124° 59' 42.0108'' W,137,14541.36
Pachena Lake,PCH,536732,4789,26.21,10.72,-125.0289993,48.8375015,48° 50' 15.0072'' N,125° 1' 44.3964'' W,86,10357.90
Beaver Lake,BEA,172250,1827,13,4.9,-127.3150024,50.6007004,50° 36' 2.52'' N,127° 18' 54.0072'' W,83,9394.84
Nimpkish Lake,NIM,38187045,57285,320,122,-126.9749985,50.4104004,50° 24' 37.44'' N,126° 58' 29.9928'' W,25,10534.84
Thiemer Lake,THE,439894,5138,25,5.5,-126.9789963,50.5105019,50° 30' 37.8072'' N,126° 58' 44.3856'' W,96,5752.95
Roselle Lake,ROS,177385,2546,6,2.1,-126.9889984,50.5206985,50° 31' 14.5164'' N,126° 59' 20.3928'' W,101,6463.52
Anutz Lake,ANU,933028,5194,38.4,13.23,-126.9229965,50.3013,50° 18' 4.68'' N,126° 55' 22.7856'' W,23,11750.96
D (Gramma D) Lake,GRA,24109,599,10,3.9,-127.4449997,50.5163002,50° 30' 58.68'' N,127° 26' 42'' W,54,8478.78
Woss Lake,WOS,14047841,38977,153.61,71.32,-126.612999,50.1203995,50° 7' 13.4364'' N,126° 36' 46.7964'' W,147,69604.05
Muchalat Lake,MUC,5490818,16427,62.17,33.13,-126.1959991,49.8744011,49° 52' 27.8436'' N,126° 11' 45.5964'' W,201,31370.64
Tsiko (Loon) Lake,TSI,333249,2941,37,20.8,-126.8669968,50.2430992,50° 14' 35.1564'' N,126° 52' 1.1892'' W,206,24893.46
Vernon Lake,VER,8258120,19280,114,62.09,-126.4349976,50.0298996,50° 1' 47.64'' N,126° 26' 5.9928'' W,207,91605.18
Little Mud Lake,LMU,47422,992,12.19,4.79,-125.5500031,50.2061996,50° 12' 22.32'' N,125° 33' 0.0108'' W,205,28110.37
Roberts Lake,ROB,1662681,7577,53,25,-125.5419998,50.2219009,50° 13' 18.8436'' N,125° 32' 31.2'' W,150,25371.36
McNair Lake,MCN,198007,2826,5.6,17.4,-125.5770035,50.2258987,50° 13' 33.2364'' N,125° 34' 37.2144'' W,190,24381.87
Stella Lake,STE,4426872,23440,42.5,18.7,-125.5210037,50.2845001,50° 17' 4.2'' N,125° 31' 15.6144'' W,130,6726.17
McCreight Lake,MCR,2820685,11929,55,31.39,-125.6429977,50.3011017,50° 18' 3.9672'' N,125° 38' 34.7928'' W,59,6998.18
Lower Stella Lake,LST,375130,3832,7.3,0,-125.5429993,50.3103981,50° 18' 37.4328'' N,125° 32' 34.7964'' W,130,4586.42
Farewell Lake,FAR,211617,3568,16.5,5.27,-125.5899963,50.2001991,50° 12' 0.7164'' N,125° 35' 23.9856'' W,180,26513.50
Muskeg Lake,MSK,113751,2073,16.46,5.27,-125.5770035,50.1988983,50° 11' 56.0328'' N,125° 34' 37.2144'' W,186,27667.51
Cedar Lake,CED,342495,6558,20.73,4.08,-125.5660019,50.2067986,50° 12' 24.4764'' N,125° 33' 57.6072'' W,204,28804.68
Mud Lake,MUD,368869,4541,22.56,7.41,-125.5550003,50.1969986,50° 11' 49.1964'' N,125° 33' 18'' W,206,28820.47
Blackwater Lake,BLK,373901,6432,28,4,-125.5899963,50.1717987,50° 10' 18.4764'' N,125° 35' 23.9856'' W,189,29424.04
Amor Lake,AMO,3149755,22010,48.77,14.6,-125.5540009,50.1660995,50° 9' 57.96'' N,125° 33' 14.4036'' W,209,32459.38
Merrill Lake,MER,749981,4097,29,11.1,-125.5630035,50.0614014,50° 3' 41.0436'' N,125° 33' 46.8108'' W,257,40772.38
Gray Lake,GRY,591542,5861,.,.,-125.5960007,50.0570984,50° 3' 25.5528'' N,125° 35' 45.6036'' W,183,36470.46
Brewster Lake,BRE,4999156,16768,56.39,24.54,-125.5830002,50.1010017,50° 6' 3.6072'' N,125° 34' 58.8'' W,186,39971.18
Fry Lake,FRY,783697,6914,.,.,-125.5790024,50.0275002,50° 1' 39'' N,125° 34' 44.4072'' W,179,32877.35
Lawson Lake,LAW,217560,2198,16,0,-125.5749969,50.0359993,50° 2' 9.5964'' N,125° 34' 29.9892'' W,182,34784.00
Comida Lake,COM,202602,2880,14,3.7,-125.5299988,50.1495018,50° 8' 58.2072'' N,125° 31' 47.9964'' W,212,19340.71
Mohun Lake,MOH,6289959,34974,43,14,-125.4990005,50.1171989,50° 7' 1.9164'' N,125° 29' 56.4'' W,205,12662.37
Campbell Lake,LCL,24358608,71760,75.6,17.1,-125.4639969,50.0185013,50° 1' 6.6036'' N,125° 27' 50.3892'' W,179,18585.15
Echo Lake,ECH,240491,2745,5.8,14,-125.4110031,49.9860001,49° 59' 9.6'' N,125° 24' 39.6108'' W,220,38446.97
Boot Lake,BOO,1297292,6599,32,11.9,-125.5309982,50.0539017,50° 3' 14.0472'' N,125° 31' 51.5928'' W,236,38165.20
Skating Pond,L2B,62930,1184,3.66,1.23,-125.1259995,48.8147011,48° 48' 52.9236'' N,125° 7' 33.6'' W,22,3518.08
Kidney Lake,KID,132162,1518,.,.,-127.3339996,50.6068993,50° 36' 24.8364'' N,127° 20' 2.4'' W,89,9054.38
Joe Lake,JOE,54756,1302,29,8.8,-127.483993,50.623833,50° 37' 25.7988'' N,127° 29' 2.3748'' W,279,9169.11
Little Woss Lake,LWO,101568,1901,.,.,-126.6119995,50.1809006,50° 10' 51.2436'' N,126° 36' 43.1964'' W,153,72588.43
Brown Bay Lake,BRB,73890,1202,18.5,7.2,-125.413002,50.1589012,50° 9' 32.0436'' N,125° 24' 46.8072'' W,107,3567.94
Ormond Lake,ORM,53538,1043,18.2,6.57,-125.526001,50.1803017,50° 10' 49.0872'' N,125° 31' 33.6036'' W,227,38501.67
Dugout Lake,DUG,13868,670,2,2,-125.5240021,50.1833992,50° 11' 0.2364'' N,125° 31' 26.4072'' W,229,38978.20
,,,,,,,,,,,
,,,,,,,,,,,
Upper Campbell Lake,,30469604,76042,69.6,42.2,-125.6449966,49.9147987,49° 54' 53.2764'' N,125° 38' 41.9892'' W,223,33103.75
**No WGS samples (in Emma's experiment) available for Upper Campbell,,,,,,,,,,,