FID,lake_name,avg_chlorophyll,mean_cover_pattern,mean_crown_closure,elevation,mean_height,loose_road_density,paved_road_density,mean_forest_age
1,Beaver Lake,0.843478261,1.222910692,60.49356533,94.25351417,18.5789064,0.002329736,0.001422046,91.0796256
2,Black Lake,1.193703704,2.491239884,55.90757685,153.017998,17.88429328,0.002827908,0,87.2159065
3,Blackwater Lake,0.715769231,2.702773138,56.58043457,223.7860363,24.19070535,0.00115233,6.06072275580903e-05,58.84474613
4,Boot Lake,0.47475,2.566541241,80.23381257,265.8387248,26.89978039,0.001680383,0,56.0411647
5,Brewster Lake,0.235609756,2.999650304,76.77082683,214.6102124,27.49214224,0.003266277,1.86009273642614e-05,68.27323045
6,Brown Bay Lake,0.642162162,3.227021937,66.78097179,167.7508663,29.27055929,0.002726919,8.84644076916339e-05,83.83251689
7,Cedar Lake,0.491212121,3.220558823,62.88449709,230.6145369,26.54868599,0.002206501,0.000213396,69.09645165
8,Comida Lake,0.5875,2.534408307,58.39729682,253.5507517,22.77746357,0.002410198,0.000107245,54.50766632
9,D Lake,0.251666667,1.691561804,68.95179951,103.3739761,25.74395049,0.002287642,0.000769577,90.06826797
10,Echo Lake,0.695,3,106.6162026,246.0117182,20.89736606,0.00398155,0.000765453,45.2255392
11,Farewell Lake,0.889032258,3.091596817,67.15791762,206.225906,27.54788487,0.001760588,8.23273604369294e-05,77.80410119
12,Fry Lake,0.347083333,3.094677458,83.39723978,189.9451139,31.29212672,0.002585577,0.000116094,69.69795065
13,Gray Lake,0.442333333,2.884813909,66.71893535,213.7391361,23.9948922,0.002535346,6.40437974400656e-05,53.90405357
14,Joe Lake,0.879333333,3.220625618,62.90245383,230.599714,26.5411731,0.002208309,0.000213341,69.07883814
15,Lawson Lake,0.383,3.061934815,71.45162584,203.8128293,32.56321592,0.00269377,0.000205474,72.02125588
16,Lower Campbell Lake,0.127948718,2.72650377,94.13584014,195.806739,29.46233034,0.002020718,0,92.16668088
17,Lower Stella Lake,0.247333333,3.117708748,55.43433076,164.1476713,27.73069449,0.002946115,0,73.08341549
18,McCreight Lake,0.368461538,3.094742063,77.29413817,141.3420579,30.68890788,0.001400479,0,82.85197321
19,McNair Lake,2.284545455,2.990127924,56.61475278,224.2684005,20.39243961,0.002041903,0.000335704,55.80830089
20,Merrill Lake,0.478064516,2.379242997,83.55731305,274.0067514,27.13741694,0.002537602,0,66.5396307
21,Mohun Lake,0.463333333,2.953088115,89.74006305,238.9165651,28.82751701,0.002335559,1.03271520231026e-05,78.06255981
22,Mud Lake,0.420555556,3.545303857,52.24241892,231.0834505,18.84916513,0.003440606,7.66881289277622e-05,49.80062979
23,Muskeg Lake,2.138333333,3.062125634,67.12383834,220.4464542,28.32523729,0.002027806,0.000307569,70.48890038
24,Ormond Lake,0.453611111,2.682991571,56.40614559,267.9704105,21.43753602,0.002425299,5.05321215429086e-05,53.3576794
25,Roberts Lake,0.577826087,3.19847841,81.90254558,184.9437712,24.76743041,0.001931564,0.000631272,59.88703101
26,Rosseau Lake,0.721428571,2.594562104,65.27616493,246.5765976,25.86197595,0.000772532,0,63.73926696
27,Skating Pond,6.21375,2.17171125,46.33550899,42.18891312,23.46291619,0.00099448,0.001173709,224.8090826
28,Stella Lake,0.620487805,3,70.72679743,194.9597269,29.96022,0.001134429,0,65.45590287
29,Sugsaw Lake,1.277,1.595366541,68.10854712,83.42045644,27.06109472,0.0001737,0,154.4838488
30,Upper Campbell Lake,0.105555556,3.415123628,100.00000000,254.6519497,30.15894703,0.004540334,0,62.65334312